chr1	16891279	16893824	BT549_H3K27_TAZvDMSO_peak_1	48	.	4.23759	10.17212	4.85101	1.40926E-05
chrY	13412733	13413239	BT549_H3K27_TAZvDMSO_peak_69	11	.	3.7063	5.91577	1.14237	0.072049339
chr1	142786746	142787819	BT549_H3K27_TAZvDMSO_peak_3	15	.	3.58009	6.33553	1.51304	0.030687393
chr1	142801830	142803310	BT549_H3K27_TAZvDMSO_peak_4	15	.	3.12264	6.36893	1.5407	0.028793867
chr20	29632785	29634372	BT549_H3K27_TAZvDMSO_peak_28	15	.	3.04682	6.38385	1.54177	0.028723013
chr3	195223689	195223988	BT549_H3K27_TAZvDMSO_peak_45	15	.	3.88579	6.46166	1.59727	0.02527726
chr4	27738	28002	BT549_H3K27_TAZvDMSO_peak_47	16	.	3.86783	6.48	1.61953	0.024014304
chr20	29591835	29593502	BT549_H3K27_TAZvDMSO_peak_25	16	.	3.51969	6.47854	1.62801	0.023549951
chr1	148848016	148848454	BT549_H3K27_TAZvDMSO_peak_12	16	.	3.41984	6.47795	1.63245	0.023310415
chr9	68477782	68478223	BT549_H3K27_TAZvDMSO_peak_60	16	.	3.9374	6.54285	1.66194	0.021780107
chr1	143429722	143430360	BT549_H3K27_TAZvDMSO_peak_10	16	.	3.46701	6.56925	1.69733	0.020075668
chr3	75747753	75748865	BT549_H3K27_TAZvDMSO_peak_44	17	.	2.57975	6.57538	1.71169	0.019422718
chr20	47131949	47132261	BT549_H3K27_TAZvDMSO_peak_29	17	.	2.24243	6.65833	1.78303	0.016480485
chr3	75679496	75680359	BT549_H3K27_TAZvDMSO_peak_39	17	.	3.59198	6.65833	1.78374	0.016453565
chrY	9950598	9951209	BT549_H3K27_TAZvDMSO_peak_65	17	.	3.37243	6.67182	1.797	0.015958791
chr3	75683892	75684851	BT549_H3K27_TAZvDMSO_peak_40	19	.	3.28978	6.88695	1.97617	0.010564039
chr10	126677171	126677424	BT549_H3K27_TAZvDMSO_peak_13	20	.	4.06242	6.94353	2.002	0.009954054
chr20	29603682	29604603	BT549_H3K27_TAZvDMSO_peak_26	21	.	3.08338	7.07927	2.14142	0.007220712
chrY	9960979	9962117	BT549_H3K27_TAZvDMSO_peak_66	21	.	3.08473	7.14339	2.19168	0.006431614
chr4	190842464	190842924	BT549_H3K27_TAZvDMSO_peak_51	22	.	3.57907	7.24984	2.28812	0.005150863
chrY	9963792	9965129	BT549_H3K27_TAZvDMSO_peak_67	24	.	3.9396	7.39135	2.4046	0.003939127
chr4	190897618	190898412	BT549_H3K27_TAZvDMSO_peak_52	24	.	3.90558	7.41776	2.42801	0.003732416
chr1	142573430	142573699	BT549_H3K27_TAZvDMSO_peak_2	25	.	4.24904	7.54253	2.5257	0.002980575
chr2	132772332	132774400	BT549_H3K27_TAZvDMSO_peak_21	25	.	4.11257	7.5408	2.53021	0.002949783
chr21	10006573	10006941	BT549_H3K27_TAZvDMSO_peak_33	25	.	4.20621	7.57987	2.56173	0.002743279
chr1	143180814	143181313	BT549_H3K27_TAZvDMSO_peak_8	26	.	4.29527	7.67792	2.64009	0.002290393
chr17	21555411	21556048	BT549_H3K27_TAZvDMSO_peak_18	26	.	4.30412	7.69127	2.65075	0.002234858
chrY	9943695	9945210	BT549_H3K27_TAZvDMSO_peak_64	26	.	4.17205	7.72235	2.69349	0.002025396
chr9	68489412	68491154	BT549_H3K27_TAZvDMSO_peak_61	27	.	4.18121	7.83545	2.7826	0.001649681
